TYPE;SOUSTYPE;ADRESSE;CODE_POSTAL;VILLE;ARRONDISSEMENT;DATEDECL;ANNEE DECLARATION;MOIS DECLARATION;NUMERO;PREFIXE;INTERVENANT;CONSEIL DE QUARTIER;OBJECTID;geo_shape;geo_point_2d
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;8 avenue jean jaurès ,75019 PARIS;75019;Paris 19;19.0;2012-11-06T02:00:00+01:00;2012;11;391.0;S;graffitis;BASSIN DE LA VILLETTE;506785;"{""type"": ""Point"", ""coordinates"": [2.371394002390375, 48.88309500215187]}";48.8830950022, 2.37139400239
Graffitis, tags, affiches et autocollants;... sur corbeille à déchets et mobilier urbain;51 boulevard de ménilmontant ,75011 PARIS;75011;Paris 11;11.0;2012-11-06T02:00:00+01:00;2012;11;387.0;S;DPE;LEON BLUM - FOLIE-REGNAULT;506786;"{""type"": ""Point"", ""coordinates"": [2.387777005165404, 48.86143499896699]}";48.861434999, 2.38777700517
Graffitis, tags, affiches et autocollants;... sur corbeille à déchets et mobilier urbain;13 rue pétion ,75011 PARIS;75011;Paris 11;11.0;2012-11-06T02:00:00+01:00;2012;11;473.0;S;DPE;LEON BLUM - FOLIE-REGNAULT;506789;"{""type"": ""Point"", ""coordinates"": [2.381313996185413, 48.858749995442004]}";48.8587499954, 2.38131399619
Graffitis, tags, affiches et autocollants;Affiches ou autocollants sur immeuble, mur ou commerce;15 passage de ménilmontant ,75011 PARIS;75011;Paris 11;11.0;2012-11-07T02:00:00+01:00;2012;11;746.0;S;DPE;BELLEVILLE - SAINT-MAUR;506791;"{""type"": ""Point"", ""coordinates"": [2.381933998761588, 48.86486400050205]}";48.8648640005, 2.38193399876
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;76 rue du faubourg du temple ,75010 PARIS;75010;Paris 10;11.0;2012-11-08T02:00:00+01:00;2012;11;992.0;S;graffitis;BELLEVILLE - SAINT-MAUR;506795;"{""type"": ""Point"", ""coordinates"": [2.372123994473964, 48.8700599957017]}";48.8700599957, 2.37212399447
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;108 avenue de flandre ,75019 PARIS;75019;Paris 19;19.0;2012-11-21T02:00:00+01:00;2012;11;3225.0;S;DVD;BASSIN DE LA VILLETTE;261365;"{""type"": ""Point"", ""coordinates"": [2.378201994590282, 48.891482995775974]}";48.8914829958, 2.37820199459
Propreté;Malpropreté du sol:Autre;23 rue de la cerisaie ,75004 PARIS;75004;Paris 4;4.0;2012-11-26T02:00:00+01:00;2012;11;4101.0;S;DPE;ARSENAL;16903;"{""type"": ""Point"", ""coordinates"": [2.364993998337298, 48.852283001047475]}";48.852283001, 2.36499399834
Objets abandonnés;Meubles et éléments de décoration;58 rue de turenne ,75003 PARIS;75003;Paris 3;3.0;2012-11-27T02:00:00+01:00;2012;11;4379.0;S;Ramen en tant que prestataire de DansMaRue;RAMBUTEAU - FRANCS-BOURGEOIS;16908;"{""type"": ""Point"", ""coordinates"": [2.364479999338239, 48.8587840000316]}";48.858784, 2.36447999934
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;33 rue du bourg tibourg ,75004 PARIS;75004;Paris 4;4.0;2012-11-27T02:00:00+01:00;2012;11;4642.0;S;graffitis;SAINT-GERVAIS;16912;"{""type"": ""Point"", ""coordinates"": [2.3565939942308862, 48.857704001468434]}";48.8577040015, 2.35659399423
Objets abandonnés;Planches et palettes;6 rue duperré ,75009 PARIS;75009;Paris 9;9.0;2012-11-27T02:00:00+01:00;2012;11;4593.0;S;Ramen en tant que prestataire de DansMaRue;CLICHY - TRINITE;16920;"{""type"": ""Point"", ""coordinates"": [2.336548993924092, 48.88209000147432]}";48.8820900015, 2.33654899392
