TYPE;SOUSTYPE;ADRESSE;CODE_POSTAL;VILLE;ARRONDISSEMENT;DATEDECL;ANNEE DECLARATION;MOIS DECLARATION;NUMERO;PREFIXE;INTERVENANT;CONSEIL DE QUARTIER;OBJECTID;geo_shape;geo_point_2d
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Trappes ou grilles au sol:Grille de caniveau sur trottoir;51 rue basfroi ,75011 PARIS;75011;Paris 11;11.0;2012-11-14T02:00:00+01:00;2012;11;2041.0;S;DVD;BASTILLE - POPINCOURT;220934;"{""type"": ""Point"", ""coordinates"": [2.377827994743742, 48.856453000954055]}";48.856453001, 2.37782799474
Voirie et déplacements;Chaussées:Revêtement manquant;16 rue de charonne ,75011 PARIS;75011;Paris 11;11.0;2012-11-14T02:00:00+01:00;2012;11;1997.0;S;DVD;BASTILLE - POPINCOURT;220935;"{""type"": ""Point"", ""coordinates"": [2.374568995472853, 48.85244400001901]}";48.852444, 2.37456899547
Objets abandonnés;Meubles et éléments de décoration;11 rue de tlemcen ,75020 PARIS;75020;Paris 20;20.0;2012-11-14T02:00:00+01:00;2012;11;1895.0;S;Ramen en tant que prestataire de DansMaRue;AMANDIERS;220936;"{""type"": ""Point"", ""coordinates"": [2.387249000189774, 48.864790001620214]}";48.8647900016, 2.38724900019
Objets abandonnés;Meubles et éléments de décoration;43 rue des couronnes ,75020 PARIS;75020;Paris 20;20.0;2012-11-19T02:00:00+01:00;2012;11;2680.0;S;Ramen en tant que prestataire de DansMaRue;BELLEVILLE;220944;"{""type"": ""Point"", ""coordinates"": [2.384368005198788, 48.87017999475637]}";48.8701799948, 2.3843680052
Voirie et déplacements;Trottoirs:Affaissement, trou, bosse, pavé arraché;1-5 impasse du maroc ,75019 PARIS;75019;Paris 19;19.0;2012-11-20T02:00:00+01:00;2012;11;2838.0;S;DVD;FLANDRE - AUBERVILLIERS;220948;"{""type"": ""Point"", ""coordinates"": [2.369128997070729, 48.886750002682746]}";48.8867500027, 2.36912899707
Objets abandonnés;Autre objet (hors catégories précédentes);115 rue du cherche-midi ,75006 PARIS;75006;Paris 6;6.0;2012-10-26T04:00:00+02:00;2012;10;783.0;S;Ramen en tant que prestataire de DansMaRue;SAINT-PLACIDE;220949;"{""type"": ""Point"", ""coordinates"": [2.321577003307444, 48.84666000149636]}";48.8466600015, 2.32157700331
Objets abandonnés;Meubles et éléments de décoration;101 rue de la fontaine au roi ,75011 PARIS;75011;Paris 11;11.0;2012-11-21T02:00:00+01:00;2012;11;3354.0;S;Ramen en tant que prestataire de DansMaRue;BELLEVILLE - SAINT-MAUR;220959;"{""type"": ""Point"", ""coordinates"": [2.378695002936188, 48.86984300059607]}";48.8698430006, 2.37869500294
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;7 rue barbanegre ,75019 PARIS;75019;Paris 19;19.0;2012-11-22T02:00:00+01:00;2012;11;3597.0;S;DVD;PONT DE FLANDRE;220964;"{""type"": ""Point"", ""coordinates"": [2.3832189995203032, 48.89214999519311]}";48.8921499952, 2.38321899952
Objets abandonnés;Équipements électriques et électroniques;10 rue henry de bournazel ,75014 PARIS;75014;Paris 14;14.0;2012-11-24T02:00:00+01:00;2012;11;3893.0;S;Ramen en tant que prestataire de DansMaRue;DIDOT - PORTE DE VANVES;220976;"{""type"": ""Point"", ""coordinates"": [2.313545004586606, 48.825042999165994]}";48.8250429992, 2.31354500459
Graffitis, tags, affiches et autocollants;... sur corbeille à déchets et mobilier urbain;21 rue du cherche-midi ,75006 PARIS;75006;Paris 6;6.0;2012-11-24T02:00:00+01:00;2012;11;3890.0;S;DPE;RENNES;220977;"{""type"": ""Point"", ""coordinates"": [2.328877000520848, 48.85107799800048]}";48.851077998, 2.32887700052
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;2 passage des marais ,75010 PARIS;75010;Paris 10;10.0;2012-11-26T02:00:00+01:00;2012;11;4205.0;S;graffitis;CHATEAU D'EAU - LANCRY;220982;"{""type"": ""Point"", ""coordinates"": [2.361018993273007, 48.871159998743735]}";48.8711599987, 2.36101899327
Propreté;Malpropreté du sol:Déchets divers épars;12 rue jean poulmarch ,75010 PARIS;75010;Paris 10;10.0;2012-11-26T02:00:00+01:00;2012;11;4183.0;S;DPE;CHATEAU D'EAU - LANCRY;220985;"{""type"": ""Point"", ""coordinates"": [2.363825005316141, 48.87214300152145]}";48.8721430015, 2.36382500532
Objets abandonnés;Meubles et éléments de décoration;74 rue crozatier ,75012 PARIS;75012;Paris 12;12.0;2012-11-26T02:00:00+01:00;2012;11;4357.0;S;Ramen en tant que prestataire de DansMaRue;ALIGRE - GARE DE LYON;629706;"{""type"": ""Point"", ""coordinates"": [2.379350994549074, 48.84971599838228]}";48.8497159984, 2.37935099455
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;51 avenue jean jaurès ,75019 PARIS;75019;Paris 19;19.0;2012-11-13T02:00:00+01:00;2012;11;1812.0;S;DVD;SECRETAN;629762;"{""type"": ""Point"", ""coordinates"": [2.37767000394706, 48.88473000233542]}";48.8847300023, 2.37767000395
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Autres mobiliers:Banc;4 rue de la chine ,75020 PARIS;75020;Paris 20;20.0;2012-11-27T02:00:00+01:00;2012;11;4586.0;S;DVD;GAMBETTA;629816;"{""type"": ""Point"", ""coordinates"": [2.4005760021450673, 48.86548599524717]}";48.8654859952, 2.40057600215
Voirie et déplacements;Trottoirs:Revêtement manquant;158 rue de charonne ,75011 PARIS;75011;Paris 11;11.0;2012-11-27T02:00:00+01:00;2012;11;4641.0;S;DVD;NATION - ALEXANDRE DUMAS;629881;"{""type"": ""Point"", ""coordinates"": [2.3909469932666703, 48.855522000732805]}";48.8555220007, 2.39094699327
Graffitis, tags, affiches et autocollants;Affiches ou autocollants sur immeuble, mur ou commerce;6 rue des ecouffes ,75004 PARIS;75004;Paris 4;4.0;2012-11-26T02:00:00+01:00;2012;11;4262.0;S;DPE;SAINT-GERVAIS;220986;"{""type"": ""Point"", ""coordinates"": [2.358687000105069, 48.856655001900855]}";48.8566550019, 2.35868700011
Objets abandonnés;Meubles et éléments de décoration;95 quai de valmy ,75010 PARIS;75010;Paris 10;10.0;2012-11-26T02:00:00+01:00;2012;11;4263.0;S;Ramen en tant que prestataire de DansMaRue;GRANGE AUX BELLES - TERRAGE;220988;"{""type"": ""Point"", ""coordinates"": [2.362977999939531, 48.87503400025669]}";48.8750340003, 2.36297799994
Objets abandonnés;Portes, fenêtres, volets, vitres et sanitaires;41 avenue d'iéna ,75116 PARIS;75016;Paris 16;16.0;2012-11-26T02:00:00+01:00;2012;11;4334.0;S;Ramen en tant que prestataire de DansMaRue;CHAILLOT;220990;"{""type"": ""Point"", ""coordinates"": [2.295677004029792, 48.86822000057225]}";48.8682200006, 2.29567700403
Graffitis, tags, affiches et autocollants;Graffitis sur autres supports:Graffitis sur arbre;7 rue d'alésia ,75014 PARIS;75014;Paris 14;14.0;2012-11-14T02:00:00+01:00;2012;11;2055.0;S;DEVE-SAB;MONTSOURIS - DAREAU;220991;"{""type"": ""Point"", ""coordinates"": [2.3373469975885532, 48.82708000039211]}";48.8270800004, 2.33734699759
Propreté;Malpropreté du sol:Feuilles mortes;18 rue de l'hôtel de ville ,75004 PARIS;75004;Paris 4;4.0;2012-11-27T02:00:00+01:00;2012;11;4616.0;S;DPE;SAINT-GERVAIS;220993;"{""type"": ""Point"", ""coordinates"": [2.357906996399105, 48.853702995684515]}";48.8537029957, 2.3579069964
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;26-30 passage du bureau ,75011 PARIS;75011;Paris 11;11.0;2012-11-28T02:00:00+01:00;2012;11;4775.0;S;graffitis;NATION - ALEXANDRE DUMAS;220997;"{""type"": ""Point"", ""coordinates"": [2.393765995917204, 48.85463300115339]}";48.8546330012, 2.39376599592
Objets abandonnés;Portes, fenêtres, volets, vitres et sanitaires;19 rue de la grange aux belles ,75010 PARIS;75010;Paris 10;10.0;2012-11-28T02:00:00+01:00;2012;11;4845.0;S;Ramen en tant que prestataire de DansMaRue;GRANGE AUX BELLES - TERRAGE;220998;"{""type"": ""Point"", ""coordinates"": [2.365798004418772, 48.87433599884457]}";48.8743359988, 2.36579800442
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;14 rue monsieur le prince ,75006 PARIS;75006;Paris 6;6.0;2012-11-28T02:00:00+01:00;2012;11;4817.0;S;graffitis;ODEON;221002;"{""type"": ""Point"", ""coordinates"": [2.339658004886854, 48.850369996275774]}";48.8503699963, 2.33965800489
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;7 rue de belfort ,75011 PARIS;75011;Paris 11;11.0;2012-11-28T02:00:00+01:00;2012;11;4945.0;S;graffitis;LEON BLUM - FOLIE-REGNAULT;221003;"{""type"": ""Point"", ""coordinates"": [2.383523999074556, 48.856539994653296]}";48.8565399947, 2.38352399907
Graffitis, tags, affiches et autocollants;Graffitis sur trottoir ou ouvrage d'art;14 rue armand carrel ,75019 PARIS;75019;Paris 19;19.0;2012-11-15T02:00:00+01:00;2012;11;2149.0;S;graffitis;SECRETAN;221009;"{""type"": ""Point"", ""coordinates"": [2.379680000930626, 48.88218999618228]}";48.8821899962, 2.37968000093
Objets abandonnés;Objets entrant dans plusieurs catégories;2-6 rue maleville ,75008 PARIS;75008;Paris 8;8.0;2012-11-29T02:00:00+01:00;2012;11;5260.0;S;Ramen en tant que prestataire de DansMaRue;PARC MONCEAU;221010;"{""type"": ""Point"", ""coordinates"": [2.314266997194453, 48.877429998675076]}";48.8774299987, 2.31426699719
Propreté;Malpropreté des mobiliers de collecte des déchets:Corbeille de rue débordante;31-35 rue sedaine ,75011 PARIS;75011;Paris 11;11.0;2012-12-03T02:00:00+01:00;2012;12;259.0;S;DPE;BASTILLE - POPINCOURT;221019;"{""type"": ""Point"", ""coordinates"": [2.374102995465957, 48.85672799505003]}";48.8567279951, 2.37410299547
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;1 rue véron ,75018 PARIS;75018;Paris 18;18.0;2012-12-04T02:00:00+01:00;2012;12;300.0;S;graffitis;MONTMARTRE;221022;"{""type"": ""Point"", ""coordinates"": [2.337370998269283, 48.88419700077369]}";48.8841970008, 2.33737099827
Propreté;Malpropreté du sol:Déchets divers épars;37 rue berthe ,75018 PARIS;75018;Paris 18;18.0;2012-12-04T02:00:00+01:00;2012;12;336.0;S;DPE;MONTMARTRE;221024;"{""type"": ""Point"", ""coordinates"": [2.339906005890381, 48.885615998958194]}";48.885615999, 2.33990600589
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;52 rue stephenson ,75018 PARIS;75018;Paris 18;18.0;2012-12-05T02:00:00+01:00;2012;12;571.0;S;graffitis;GOUTTE D'OR - CHATEAU ROUGE;221027;"{""type"": ""Point"", ""coordinates"": [2.3563420050423263, 48.88837400036581]}";48.8883740004, 2.35634200504
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;17 boulevard saint-martin ,75003 PARIS;75003;Paris 3;3.0;2012-12-05T02:00:00+01:00;2012;12;676.0;S;graffitis;REAUMUR;221030;"{""type"": ""Point"", ""coordinates"": [2.360275996988633, 48.86813999505091]}";48.8681399951, 2.36027599699
Objets abandonnés;Planches et palettes;81 rue myrha ,75018 PARIS;75018;Paris 18;18.0;2012-12-05T02:00:00+01:00;2012;12;734.0;S;Ramen en tant que prestataire de DansMaRue;GOUTTE D'OR - CHATEAU ROUGE;221031;"{""type"": ""Point"", ""coordinates"": [2.349259995882298, 48.88649399985221]}";48.8864939999, 2.34925999588
Objets abandonnés;Portes, fenêtres, volets, vitres et sanitaires;63 rue lamarck ,75018 PARIS;75018;Paris 18;18.0;2012-12-06T02:00:00+01:00;2012;12;945.0;S;Ramen en tant que prestataire de DansMaRue;CLIGNANCOURT - JULES JOFFRIN;221041;"{""type"": ""Point"", ""coordinates"": [2.337785999584279, 48.89029000185199]}";48.8902900019, 2.33778599958
Objets abandonnés;Objets entrant dans plusieurs catégories;68 rue des rondeaux ,75020 PARIS;75020;Paris 20;20.0;2012-12-07T02:00:00+01:00;2012;12;1272.0;S;Ramen en tant que prestataire de DansMaRue;GAMBETTA;221046;"{""type"": ""Point"", ""coordinates"": [2.396374994722367, 48.86428500042324]}";48.8642850004, 2.39637499472
Objets abandonnés;Objets entrant dans plusieurs catégories;139 rue oberkampf ,75011 PARIS;75011;Paris 11;11.0;2012-12-07T02:00:00+01:00;2012;12;1245.0;S;Ramen en tant que prestataire de DansMaRue;BELLEVILLE - SAINT-MAUR;221048;"{""type"": ""Point"", ""coordinates"": [2.380791005456024, 48.866490000910616]}";48.8664900009, 2.38079100546
Objets abandonnés;Meubles et éléments de décoration;8 rue chardon-lagache ,75016 PARIS;75016;Paris 16;16.0;2012-12-07T02:00:00+01:00;2012;12;1292.0;S;Ramen en tant que prestataire de DansMaRue;AUTEUIL SUD;221051;"{""type"": ""Point"", ""coordinates"": [2.267714993770288, 48.846639998618585]}";48.8466399986, 2.26771499377
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;56-62 rue planchat ,75020 PARIS;75020;Paris 20;20.0;2012-12-08T02:00:00+01:00;2012;12;1392.0;S;graffitis;PERE LACHAISE - REUNION;221056;"{""type"": ""Point"", ""coordinates"": [2.396305998867155, 48.85606800018208]}";48.8560680002, 2.39630599887
Objets abandonnés;Planches et palettes;9 rue de trévise ,75009 PARIS;75009;Paris 9;9.0;2012-11-29T02:00:00+01:00;2012;11;5104.0;S;Ramen en tant que prestataire de DansMaRue;LA FAYETTE - RICHER;221059;"{""type"": ""Point"", ""coordinates"": [2.345650004307187, 48.87491199832509]}";48.8749119983, 2.34565000431
Propreté;Malpropreté du sol:Autre;7 rue de palestro ,75002 PARIS;75002;Paris 2;2.0;2012-12-19T02:00:00+01:00;2012;12;2672.0;S;DPE;MONTORGUEIL - SAINT-DENIS;221089;"{""type"": ""Point"", ""coordinates"": [2.351169006716653, 48.864852995518476]}";48.8648529955, 2.35116900672
Objets abandonnés;Planches et palettes;15 rue yves toudic ,75010 PARIS;75010;Paris 10;10.0;2012-12-20T02:00:00+01:00;2012;12;2903.0;S;Ramen en tant que prestataire de DansMaRue;CHATEAU D'EAU - LANCRY;221093;"{""type"": ""Point"", ""coordinates"": [2.363428000644891, 48.87016300310461]}";48.8701630031, 2.36342800064
Graffitis, tags, affiches et autocollants;Graffitis sur autres supports:Graffitis sur arbre;232 avenue de versailles ,75016 PARIS;75016;Paris 16;16.0;2012-12-19T02:00:00+01:00;2012;12;2646.0;S;DEVE-SAB;AUTEUIL SUD;221095;"{""type"": ""Point"", ""coordinates"": [2.258056996598892, 48.83810800315895]}";48.8381080032, 2.2580569966
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;14 place du docteur paul michaux ,75016 PARIS;75016;Paris 16;16.0;2012-12-26T02:00:00+01:00;2012;12;3117.0;S;graffitis;AUTEUIL SUD;221096;"{""type"": ""Point"", ""coordinates"": [2.254998993861008, 48.83930599505284]}";48.8393059951, 2.25499899386
Propreté;Malpropreté du sol:Autre;9 rue du louvre ,75001 PARIS;75001;Paris 1;1.0;2012-12-29T02:00:00+01:00;2012;12;3402.0;S;DPE;LES HALLES;221100;"{""type"": ""Point"", ""coordinates"": [2.341390995835544, 48.86221999963314]}";48.8622199996, 2.34139099584
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;20 rue grégoire de tours ,75006 PARIS;75006;Paris 6;6.0;2012-12-31T02:00:00+01:00;2012;12;3484.0;S;graffitis;ODEON;221107;"{""type"": ""Point"", ""coordinates"": [2.3378510004642132, 48.8530649950815]}";48.8530649951, 2.33785100046
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;Cité d'Hauteville, 75010 PARIS;75010;Paris 10;10.0;2012-12-14T02:00:00+01:00;2012;12;1558.0;S;graffitis;PORTE SAINT-DENIS - PARADIS;221117;"{""type"": ""Point"", ""coordinates"": [2.352158352903138, 48.87654761290858]}";48.8765476129, 2.3521583529
Voirie et déplacements;Panneaux routiers:Panneau endommagé;87 avenue d'ivry ,75013 PARIS;75013;Paris 13;13.0;2012-12-19T02:00:00+01:00;2012;12;2681.0;S;DVD;OLYMPIADES - CHOISY;221128;"{""type"": ""Point"", ""coordinates"": [2.362800004963352, 48.82458000135136]}";48.8245800014, 2.36280000496
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;19 avenue de la république ,75011 PARIS;75011;Paris 11;11.0;2012-09-29T04:00:00+02:00;2012;9;748.0;S;DVD;REPUBLIQUE - SAINT-AMBROISE;221142;"{""type"": ""Point"", ""coordinates"": [2.370437002794435, 48.866120001646614]}";48.8661200016, 2.37043700279
Propreté;Malpropreté du sol:Déchets divers épars;13 rue moreau ,75012 PARIS;75012;Paris 12;12.0;2012-11-19T02:00:00+01:00;2012;11;2794.0;S;DPE;ALIGRE - GARE DE LYON;221155;"{""type"": ""Point"", ""coordinates"": [2.372763001340942, 48.85006299581378]}";48.8500629958, 2.37276300134
Propreté;Malpropreté du sol:Autre;9-11 rue victor schoelcher ,75014 PARIS;75014;Paris 14;14.0;2012-11-05T02:00:00+01:00;2012;11;197.0;S;DPE;RASPAIL - MONTPARNASSE;221296;"{""type"": ""Point"", ""coordinates"": [2.330252003062976, 48.83560999627647]}";48.8356099963, 2.33025200306
Voirie et déplacements;Trottoirs:Revêtement manquant;42 rue des haies ,75020 PARIS;75020;Paris 20;20.0;2012-12-13T02:00:00+01:00;2012;12;1955.0;S;DVD;PERE LACHAISE - REUNION;221301;"{""type"": ""Point"", ""coordinates"": [2.401749003094248, 48.853460003530145]}";48.8534600035, 2.40174900309
Graffitis, tags, affiches et autocollants;Affiches et autocollants sur autres supports:... sur mobilier spécifique : RATP, EDF...;31 rue servan ,75011 PARIS;75011;Paris 11;11.0;2012-11-06T02:00:00+01:00;2012;11;435.0;S;DVD;LEON BLUM - FOLIE-REGNAULT;221324;"{""type"": ""Point"", ""coordinates"": [2.382889001285699, 48.860892994887664]}";48.8608929949, 2.38288900129
Objets abandonnés;Meubles et éléments de décoration;150 boulevard ney ,75018 PARIS;75018;Paris 18;18.0;2012-11-23T02:00:00+01:00;2012;11;3756.0;S;Ramen en tant que prestataire de DansMaRue;MOSKOWA - PORTE MONTMARTRE - PORTE DE CLIGNANCOURT;221407;"{""type"": ""Point"", ""coordinates"": [2.336230000016037, 48.897957001691665]}";48.8979570017, 2.33623000002
Objets abandonnés;Objets entrant dans plusieurs catégories;11 chemin du parc de charonne ,75020 PARIS;75020;Paris 20;20.0;2012-11-15T02:00:00+01:00;2012;11;2321.0;S;Ramen en tant que prestataire de DansMaRue;SAINT-BLAISE;221418;"{""type"": ""Point"", ""coordinates"": [2.403442000710927, 48.861010003469886]}";48.8610100035, 2.40344200071
Objets abandonnés;Planches et palettes;54 rue des prairies ,75020 PARIS;75020;Paris 20;20.0;2012-11-15T02:00:00+01:00;2012;11;2317.0;S;Ramen en tant que prestataire de DansMaRue;GAMBETTA;221420;"{""type"": ""Point"", ""coordinates"": [2.401869002352384, 48.86377000283304]}";48.8637700028, 2.40186900235
Graffitis, tags, affiches et autocollants;Graffitis sur autres supports:Graffitis sur arbre;28 rue de condé ,75006 PARIS;75006;Paris 6;6.0;2012-12-11T02:00:00+01:00;2012;12;1721.0;S;DEVE-SAB;ODEON;221461;"{""type"": ""Point"", ""coordinates"": [2.33798399815401, 48.85062799861759]}";48.8506279986, 2.33798399815
Voirie et déplacements;Trottoirs:Revêtement manquant;54 boulevard saint-marcel ,75005 PARIS;75005;Paris 5;13.0;2012-11-24T02:00:00+01:00;2012;11;3951.0;S;DVD;SALPETRIERE - AUSTERLITZ;220543;"{""type"": ""Point"", ""coordinates"": [2.3588870010290153, 48.83896300155376]}";48.8389630016, 2.35888700103
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;21 rue rouvet ,75019 PARIS;75019;Paris 19;19.0;2012-11-22T02:00:00+01:00;2012;11;3628.0;S;DVD;PONT DE FLANDRE;503327;"{""type"": ""Point"", ""coordinates"": [2.38315500045323, 48.89423999652556]}";48.8942399965, 2.38315500045
Arbres, végétaux et animaux;Problèmes sur arbres et végétaux:Végétaux en mauvais état;7 boulevard des filles du calvaire ,75003 PARIS;75003;Paris 3;3.0;2012-12-08T02:00:00+01:00;2012;12;1336.0;S;;TEMPLE;237488;"{""type"": ""Point"", ""coordinates"": [2.366962995915838, 48.86161399616628]}";48.8616139962, 2.36696299592
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;33 quai des grands augustins ,75006 PARIS;75006;Paris 6;6.0;2012-11-27T02:00:00+01:00;2012;11;4465.0;S;DVD;MONNAIE;630008;"{""type"": ""Point"", ""coordinates"": [2.342274998456288, 48.854649999824574]}";48.8546499998, 2.34227499846
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;boulevard de l'amiral bruix ,75116 PARIS;75016;Paris 16;16.0;2012-12-12T02:00:00+01:00;2012;12;1832.0;S;DVD;PORTE DAUPHINE;217102;"{""type"": ""Point"", ""coordinates"": [2.279568997104885, 48.875323995100416]}";48.8753239951, 2.2795689971
Voirie et déplacements;Chaussées:Revêtement manquant;11 rue jean bart ,75006 PARIS;75006;Paris 6;6.0;2012-12-10T02:00:00+01:00;2012;12;1478.0;S;DVD;RENNES;217290;"{""type"": ""Point"", ""coordinates"": [2.33115200221151, 48.8474160007966]}";48.8474160008, 2.33115200221
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;33 rue des poissonniers ,75018 PARIS;75018;Paris 18;18.0;2012-12-05T02:00:00+01:00;2012;12;654.0;S;DVD;GOUTTE D'OR - CHATEAU ROUGE;217479;"{""type"": ""Point"", ""coordinates"": [2.35151099904558, 48.88819000309636]}";48.8881900031, 2.35151099905
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;1 avenue des gobelins, 75005 PARIS;75005;Paris 5;5.0;2012-12-18T02:00:00+01:00;2012;12;2425.0;S;graffitis;JARDIN DES PLANTES;299399;"{""type"": ""Point"", ""coordinates"": [2.350850003330748, 48.8382699995022]}";48.8382699995, 2.35085000333
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;3 rue de nevers, 75006 PARIS;75006;Paris 6;6.0;2012-11-27T02:00:00+01:00;2012;11;4445.0;S;graffitis;MONNAIE;299428;"{""type"": ""Point"", ""coordinates"": [2.339799008730908, 48.855900000822444]}";48.8559000008, 2.33979900873
Problème sur un chantier;Chantier de voirie sale;67 rue rambuteau ,75004 PARIS;75004;Paris 4;4.0;2012-12-08T02:00:00+01:00;2012;12;1325.0;S;DVD;SAINT-MERRI;78581;"{""type"": ""Point"", ""coordinates"": [2.350722005200098, 48.861796995394904]}";48.8617969954, 2.3507220052
Graffitis, tags, affiches et autocollants;Graffitis sur autres supports:Graffitis sur arbre;2 avenue rené coty ,75014 PARIS;75014;Paris 14;14.0;2012-11-13T02:00:00+01:00;2012;11;1868.0;S;DEVE-SAB;MOUTON-DUVERNET;78339;"{""type"": ""Point"", ""coordinates"": [2.332401994373396, 48.83312000146977]}";48.8331200015, 2.33240199437
Objets abandonnés;Portes, fenêtres, volets, vitres et sanitaires;9 boulevard ornano ,75018 PARIS;75018;Paris 18;18.0;2012-11-27T02:00:00+01:00;2012;11;4487.0;S;Ramen en tant que prestataire de DansMaRue;CLIGNANCOURT - JULES JOFFRIN;78390;"{""type"": ""Point"", ""coordinates"": [2.34869400447192, 48.89227000151429]}";48.8922700015, 2.34869400447
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;4 rue zadkine ,75013 PARIS;75013;Paris 13;13.0;2012-11-30T02:00:00+01:00;2012;11;5591.0;S;graffitis;DUNOIS - BIBLIOTHEQUE - JEANNE-D'ARC;78445;"{""type"": ""Point"", ""coordinates"": [2.36971199709014, 48.83178300210878]}";48.8317830021, 2.36971199709
Voirie et déplacements;Panneaux routiers:Panneau endommagé;12 rue paul bert ,75011 PARIS;75011;Paris 11;11.0;2012-12-04T02:00:00+01:00;2012;12;508.0;S;DVD;NATION - ALEXANDRE DUMAS;13279;"{""type"": ""Point"", ""coordinates"": [2.384861000787381, 48.851875003078334]}";48.8518750031, 2.38486100079
Propreté;Malpropreté du sol:Autre;place de la porte maillot ,75116 PARIS;75016;Paris 16;16.0;2012-12-11T02:00:00+01:00;2012;12;1700.0;S;DPE;PORTE DAUPHINE;219396;"{""type"": ""Point"", ""coordinates"": [2.283190001355904, 48.87753699707044]}";48.8775369971, 2.28319000136
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;5 rue des ciseaux, 75006 PARIS;75006;Paris 6;6.0;2012-12-20T02:00:00+01:00;2012;12;2842.0;S;graffitis;SAINT-GERMAIN DES PRES;239793;"{""type"": ""Point"", ""coordinates"": [2.33416500256755, 48.85299700040544]}";48.8529970004, 2.33416500257
Graffitis, tags, affiches et autocollants;Graffitis sur autres supports:Graffitis sur colonne à verre;81 rue de rennes, 75006 PARIS;75006;Paris 6;6.0;2012-12-21T02:00:00+01:00;2012;12;2965.0;S;PRESTA_COL;RENNES;117494;"{""type"": ""Point"", ""coordinates"": [2.329827002604305, 48.85012000241378]}";48.8501200024, 2.3298270026
Graffitis, tags, affiches et autocollants;Graffitis sur statue, monument, ¿uvre d'art;145 boulevard saint-germain ,75006 PARIS;75006;Paris 6;6.0;2012-11-26T02:00:00+01:00;2012;11;4316.0;S;DAC;ODEON;117859;"{""type"": ""Point"", ""coordinates"": [2.336625003835584, 48.85293000112064]}";48.8529300011, 2.33662500384
Objets abandonnés;Meubles et éléments de décoration;71 avenue de choisy ,75013 PARIS;75013;Paris 13;13.0;2012-07-27T04:00:00+02:00;2012;7;285.0;S;Ramen en tant que prestataire de DansMaRue;OLYMPIADES - CHOISY;118860;"{""type"": ""Point"", ""coordinates"": [2.361843999860398, 48.82349999571902]}";48.8234999957, 2.36184399986
Objets abandonnés;Objets entrant dans plusieurs catégories;37 avenue d'italie ,75013 PARIS;75013;Paris 13;13.0;2012-08-08T04:00:00+02:00;2012;8;154.0;S;Ramen en tant que prestataire de DansMaRue;PEUPLIERS - BRILLAT - RUNGIS;118866;"{""type"": ""Point"", ""coordinates"": [2.357214002283682, 48.826084000847395]}";48.8260840008, 2.35721400228
Objets abandonnés;Objets entrant dans plusieurs catégories;100 rue du château des rentiers ,75013 PARIS;75013;Paris 13;13.0;2012-08-15T04:00:00+02:00;2012;8;249.0;S;Ramen en tant que prestataire de DansMaRue;DUNOIS - BIBLIOTHEQUE - JEANNE-D'ARC;118873;"{""type"": ""Point"", ""coordinates"": [2.367870996290578, 48.82787700276849]}";48.8278770028, 2.36787099629
Objets abandonnés;Planches et palettes;143 avenue de saint-ouen, 75017 PARIS;75017;Paris 17;17.0;2012-08-16T04:00:00+02:00;2012;8;268.0;S;Ramen en tant que prestataire de DansMaRue;EPINETTES - BESSIERES;118874;"{""type"": ""Point"", ""coordinates"": [2.328565800131492, 48.89689050097709]}";48.896890501, 2.32856580013
